Datum,Zaehlerstand
01.06.2016,1525
02.06.2016,2675
03.06.2016,2525
04.06.2016,1994
05.06.2016,1923
06.06.2016,3337
07.06.2016,3356
08.06.2016,3442
09.06.2016,3540
10.06.2016,3615
11.06.2016,2619
12.06.2016,1764
13.06.2016,2657
14.06.2016,2548
15.06.2016,2430
16.06.2016,2857
17.06.2016,2264
18.06.2016,1912
19.06.2016,1723
20.06.2016,2702
21.06.2016,2884
22.06.2016,3380
23.06.2016,3574
24.06.2016,3275
25.06.2016,1081
26.06.2016,1621
27.06.2016,2581
28.06.2016,3233
29.06.2016,3297
30.06.2016,2888
01.07.2016,3126
02.07.2016,2465
03.07.2016,2142
04.07.2016,3210
05.07.2016,3102
06.07.2016,3485
07.07.2016,3610
08.07.2016,3369
09.07.2016,2974
10.07.2016,1987
11.07.2016,3288
12.07.2016,2992
13.07.2016,2584
14.07.2016,3039
15.07.2016,3089
16.07.2016,2374
17.07.2016,1748
18.07.2016,3112
19.07.2016,3137
20.07.2016,2954
21.07.2016,2881
22.07.2016,3135
23.07.2016,1967
24.07.2016,1912
25.07.2016,3020
26.07.2016,3090
27.07.2016,3169
28.07.2016,1958
29.07.2016,2343
30.07.2016,2594
31.07.2016,1311
01.08.2016,3008
02.08.2016,1333
03.08.2016,1448
04.08.2016,2745
05.08.2016,2591
06.08.2016,2451
07.08.2016,1933
08.08.2016,2709
09.08.2016,2683
10.08.2016,2285
11.08.2016,2108
12.08.2016,2334
13.08.2016,2517
14.08.2016,1817
15.08.2016,3101
16.08.2016,3362
17.08.2016,3147
18.08.2016,3390
19.08.2016,3095
20.08.2016,2505
21.08.2016,1405
22.08.2016,2855
23.08.2016,3397
24.08.2016,3570
25.08.2016,3616
26.08.2016,3891
27.08.2016,2772
28.08.2016,2095
29.08.2016,3297
30.08.2016,3731
31.08.2016,3788
01.09.2016,3725
02.09.2016,3628
03.09.2016,3043
04.09.2016,1305
05.09.2016,3383
06.09.2016,3735
07.09.2016,3798
08.09.2016,3591
09.09.2016,3617
10.09.2016,3023
11.09.2016,1985
12.09.2016,3592
13.09.2016,3732
14.09.2016,3689
15.09.2016,3623
16.09.2016,3636
17.09.2016,2756
18.09.2016,1888
19.09.2016,3235
20.09.2016,3279
21.09.2016,3487
22.09.2016,3505
23.09.2016,3382
24.09.2016,2960
25.09.2016,2023
26.09.2016,3414
27.09.2016,3578
28.09.2016,3409
29.09.2016,3518
30.09.2016,3255
01.10.2016,2392
02.10.2016,1493
03.10.2016,1480
04.10.2016,2988
05.10.2016,3152
06.10.2016,2970
07.10.2016,2810
08.10.2016,2326
09.10.2016,1679
10.10.2016,2486
11.10.2016,2574
12.10.2016,2306
13.10.2016,2527
14.10.2016,2534
15.10.2016,1908
16.10.2016,1694
17.10.2016,2708
18.10.2016,2592
19.10.2016,2021
20.10.2016,1671
21.10.2016,2119
22.10.2016,1808
23.10.2016,1355
24.10.2016,1673
25.10.2016,2417
26.10.2016,2792
27.10.2016,2780
28.10.2016,2766
29.10.2016,2359
30.10.2016,1605
31.10.2016,3043
01.11.2016,1597
02.11.2016,2554
03.11.2016,2756
04.11.2016,2710
05.11.2016,1973
06.11.2016,1226
07.11.2016,1701
08.11.2016,2362
09.11.2016,1700
