Datum,Zaehlerstand
01.06.2016,1361
02.06.2016,2451
03.06.2016,2218
04.06.2016,976
05.06.2016,1465
06.06.2016,3253
07.06.2016,3339
08.06.2016,3520
09.06.2016,3708
10.06.2016,3309
11.06.2016,1804
12.06.2016,1092
13.06.2016,2141
14.06.2016,2456
15.06.2016,2165
16.06.2016,2812
17.06.2016,1858
18.06.2016,1007
19.06.2016,1330
20.06.2016,2595
21.06.2016,2576
22.06.2016,3484
23.06.2016,3922
24.06.2016,2524
25.06.2016,608
26.06.2016,1436
27.06.2016,2567
28.06.2016,3168
29.06.2016,3382
30.06.2016,2663
01.07.2016,2439
02.07.2016,1369
03.07.2016,1605
04.07.2016,3100
05.07.2016,3041
06.07.2016,3184
07.07.2016,3671
08.07.2016,2936
09.07.2016,2001
10.07.2016,2095
11.07.2016,3209
12.07.2016,2934
13.07.2016,2476
14.07.2016,2985
15.07.2016,2573
16.07.2016,1439
17.07.2016,1511
18.07.2016,3345
19.07.2016,3613
20.07.2016,3292
21.07.2016,2930
22.07.2016,2757
23.07.2016,1278
24.07.2016,1999
25.07.2016,3249
26.07.2016,3248
27.07.2016,3362
28.07.2016,1839
29.07.2016,2021
30.07.2016,1602
31.07.2016,1553
01.08.2016,2934
02.08.2016,1186
03.08.2016,1173
04.08.2016,2648
05.08.2016,2339
06.08.2016,1710
07.08.2016,2256
08.08.2016,2784
09.08.2016,2689
10.08.2016,1778
11.08.2016,1956
12.08.2016,1884
13.08.2016,1617
14.08.2016,1919
15.08.2016,3214
16.08.2016,3657
17.08.2016,3878
18.08.2016,3881
19.08.2016,3299
20.08.2016,1903
21.08.2016,1268
22.08.2016,2502
23.08.2016,3961
24.08.2016,4008
25.08.2016,3832
26.08.2016,3610
27.08.2016,1801
28.08.2016,1782
29.08.2016,3216
30.08.2016,3845
31.08.2016,3908
01.09.2016,3822
02.09.2016,3749
03.09.2016,2736
04.09.2016,627
05.09.2016,3097
06.09.2016,3925
07.09.2016,4137
08.09.2016,4037
09.09.2016,3780
10.09.2016,2386
11.09.2016,2082
12.09.2016,3818
13.09.2016,4066
14.09.2016,4236
15.09.2016,4051
16.09.2016,3261
17.09.2016,2020
18.09.2016,1424
19.09.2016,3363
20.09.2016,3538
21.09.2016,3934
22.09.2016,3926
23.09.2016,3636
24.09.2016,2279
25.09.2016,2200
26.09.2016,3472
27.09.2016,3785
28.09.2016,3573
29.09.2016,3890
30.09.2016,3020
01.10.2016,1243
02.10.2016,1245
03.10.2016,1203
04.10.2016,3064
05.10.2016,3379
06.10.2016,3095
07.10.2016,2757
08.10.2016,1443
09.10.2016,1255
10.10.2016,2414
11.10.2016,2538
12.10.2016,2127
13.10.2016,2565
14.10.2016,2305
15.10.2016,1021
16.10.2016,1675
17.10.2016,2431
18.10.2016,2550
19.10.2016,1837
20.10.2016,1587
21.10.2016,1754
22.10.2016,932
23.10.2016,1002
24.10.2016,1772
25.10.2016,2300
26.10.2016,3050
27.10.2016,3158
28.10.2016,2785
29.10.2016,1546
30.10.2016,1581
31.10.2016,2536
01.11.2016,1211
02.11.2016,2361
03.11.2016,2812
04.11.2016,2474
05.11.2016,1001
06.11.2016,827
07.11.2016,1414
08.11.2016,2216
09.11.2016,1691
10.11.2016,1773
11.11.2016,1556
12.11.2016,939
13.11.2016,749
14.11.2016,2264
15.11.2016,1432
16.11.2016,1298
17.11.2016,1655
18.11.2016,1573
19.11.2016,920
20.11.2016,705
21.11.2016,1911
22.11.2016,2327
23.11.2016,2398
24.11.2016,2542
25.11.2016,2334
26.11.2016,940
27.11.2016,700
28.11.2016,2230
29.11.2016,2250
30.11.2016,2073
01.12.2016,2060
02.12.2016,1695
03.12.2016,706
04.12.2016,980
05.12.2016,1998
06.12.2016,2004
07.12.2016,1990
08.12.2016,2198
09.12.2016,1899
10.12.2016,775
11.12.2016,590
12.12.2016,1864
13.12.2016,1808
14.12.2016,2151
15.12.2016,2262
16.12.2016,1960
17.12.2016,683
18.12.2016,604
19.12.2016,2136
20.12.2016,2175
21.12.2016,1934
22.12.2016,1008
23.12.2016,1187
24.12.2016,415
25.12.2016,284
26.12.2016,313
27.12.2016,1009
28.12.2016,1123
29.12.2016,1292
30.12.2016,1133
31.12.2016,388
01.01.2017,328
02.01.2017,711
03.01.2017,1164
04.01.2017,908
05.01.2017,1528
06.01.2017,1168
07.01.2017,306
08.01.2017,310
09.01.2017,1732
10.01.2017,1545
11.01.2017,1710
12.01.2017,1687
13.01.2017,944
14.01.2017,578
15.01.2017,533
16.01.2017,1974
17.01.2017,1897
18.01.2017,1828
19.01.2017,1872
20.01.2017,1737
21.01.2017,743
22.01.2017,719
23.01.2017,1695
24.01.2017,1306
25.01.2017,1709
26.01.2017,1859
27.01.2017,1786
28.01.2017,733
29.01.2017,681
30.01.2017,1314
31.01.2017,1953
01.02.2017,2006
02.02.2017,2119
03.02.2017,1509
04.02.2017,637
05.02.2017,865
06.02.2017,2181
07.02.2017,1691
08.02.2017,1982
09.02.2017,2178
10.02.2017,1790
11.02.2017,464
12.02.2017,701
13.02.2017,2208
14.02.2017,2442
15.02.2017,2619
16.02.2017,1878
17.02.2017,1589
18.02.2017,897
19.02.2017,658
20.02.2017,1761
21.02.2017,2041
22.02.2017,1297
23.02.2017,822
24.02.2017,1208
25.02.2017,656
26.02.2017,575
27.02.2017,462
28.02.2017,1280
01.03.2017,1509
02.03.2017,1737
03.03.2017,2052
04.03.2017,938
05.03.2017,677
06.03.2017,1359
07.03.2017,1716
08.03.2017,1321
09.03.2017,1628
10.03.2017,2211
11.03.2017,1357
12.03.2017,1412
13.03.2017,2890
14.03.2017,3133
15.03.2017,3096
16.03.2017,3484
17.03.2017,2332
18.03.2017,516
19.03.2017,774
20.03.2017,2508
21.03.2017,2604
22.03.2017,2804
23.03.2017,3287
24.03.2017,2861
25.03.2017,1667
26.03.2017,1654
27.03.2017,3294
28.03.2017,3506
29.03.2017,3008
30.03.2017,3572
31.03.2017,3324
01.04.2017,1341
02.04.2017,1780
03.04.2017,3132
04.04.2017,3467
05.04.2017,3204
06.04.2017,2992
07.04.2017,2804
08.04.2017,1492
09.04.2017,2210
10.04.2017,2713
11.04.2017,2753
12.04.2017,2573
13.04.2017,2126
14.04.2017,993
15.04.2017,728
16.04.2017,659
17.04.2017,657
18.04.2017,1947
