Datum,Zaehlerstand
01.06.2016,1917
02.06.2016,3748
03.06.2016,3268
04.06.2016,1830
05.06.2016,2445
06.06.2016,5348
07.06.2016,5178
08.06.2016,5708
09.06.2016,5983
10.06.2016,5473
11.06.2016,3457
12.06.2016,2114
13.06.2016,3081
14.06.2016,3582
15.06.2016,3051
16.06.2016,3950
17.06.2016,2681
18.06.2016,1774
19.06.2016,2732
20.06.2016,3828
21.06.2016,3888
22.06.2016,5375
23.06.2016,6207
24.06.2016,4034
25.06.2016,312
26.06.2016,673
27.06.2016,1037
28.06.2016,1428
29.06.2016,1532
30.06.2016,1056
01.07.2016,1007
02.07.2016,607
03.07.2016,530
04.07.2016,1303
05.07.2016,1328
06.07.2016,1415
07.07.2016,1656
08.07.2016,1374
09.07.2016,1145
10.07.2016,1173
11.07.2016,1381
12.07.2016,1285
13.07.2016,1016
14.07.2016,1346
15.07.2016,3662
16.07.2016,3947
17.07.2016,3290
18.07.2016,5999
19.07.2016,6369
20.07.2016,5331
21.07.2016,4912
22.07.2016,4418
23.07.2016,2410
24.07.2016,3931
25.07.2016,5130
26.07.2016,5361
27.07.2016,5595
28.07.2016,2697
29.07.2016,3329
30.07.2016,3463
31.07.2016,1248
01.08.2016,4814
02.08.2016,1664
03.08.2016,1668
04.08.2016,4013
05.08.2016,3766
06.08.2016,3916
07.08.2016,5290
08.08.2016,4218
09.08.2016,3842
10.08.2016,3004
11.08.2016,2788
12.08.2016,2966
13.08.2016,4780
14.08.2016,3947
15.08.2016,5505
16.08.2016,6363
17.08.2016,6476
18.08.2016,6200
19.08.2016,5339
20.08.2016,3665
21.08.2016,1734
22.08.2016,3878
23.08.2016,6916
24.08.2016,6801
25.08.2016,6562
26.08.2016,6127
27.08.2016,4101
28.08.2016,3352
29.08.2016,5066
30.08.2016,6531
31.08.2016,6483
01.09.2016,6544
02.09.2016,6010
03.09.2016,3855
04.09.2016,1755
05.09.2016,4881
06.09.2016,6568
07.09.2016,6536
08.09.2016,6685
09.09.2016,6105
10.09.2016,4690
11.09.2016,3725
12.09.2016,6276
13.09.2016,6553
14.09.2016,6728
15.09.2016,6214
16.09.2016,5028
17.09.2016,3593
18.09.2016,2578
19.09.2016,5034
20.09.2016,5170
21.09.2016,5974
22.09.2016,5932
23.09.2016,5274
24.09.2016,4292
25.09.2016,4312
26.09.2016,5308
27.09.2016,5710
28.09.2016,5495
29.09.2016,5740
30.09.2016,4385
01.10.2016,2278
02.10.2016,1720
03.10.2016,1774
04.10.2016,4694
05.10.2016,4963
06.10.2016,4224
07.10.2016,3811
08.10.2016,2612
09.10.2016,2261
10.10.2016,3481
11.10.2016,3564
12.10.2016,2846
13.10.2016,3553
14.10.2016,3197
15.10.2016,1885
16.10.2016,3682
17.10.2016,3635
18.10.2016,3620
19.10.2016,2418
20.10.2016,2069
21.10.2016,2623
22.10.2016,1557
23.10.2016,1542
24.10.2016,2282
25.10.2016,3328
26.10.2016,4029
27.10.2016,4166
28.10.2016,3753
29.10.2016,2813
30.10.2016,2942
31.10.2016,4218
01.11.2016,2223
02.11.2016,3471
03.11.2016,3823
04.11.2016,3444
05.11.2016,1777
06.11.2016,1541
07.11.2016,1874
08.11.2016,3111
09.11.2016,2217
10.11.2016,2300
11.11.2016,2153
12.11.2016,1832
13.11.2016,1003
14.11.2016,3156
15.11.2016,1823
16.11.2016,1576
17.11.2016,2200
18.11.2016,2174
19.11.2016,1736
20.11.2016,947
21.11.2016,2659
22.11.2016,3486
23.11.2016,3509
24.11.2016,3759
25.11.2016,3595
26.11.2016,1860
27.11.2016,1248
28.11.2016,3260
29.11.2016,3144
30.11.2016,2927
01.12.2016,2971
02.12.2016,2495
03.12.2016,1519
04.12.2016,1295
05.12.2016,3018
06.12.2016,3008
07.12.2016,2921
08.12.2016,3211
09.12.2016,2951
10.12.2016,1976
11.12.2016,1148
12.12.2016,3432
13.12.2016,2646
14.12.2016,3233
15.12.2016,3231
16.12.2016,3048
17.12.2016,1606
18.12.2016,1203
19.12.2016,3228
20.12.2016,3206
21.12.2016,3104
22.12.2016,1556
23.12.2016,2075
24.12.2016,573
25.12.2016,337
26.12.2016,385
27.12.2016,1681
28.12.2016,1767
29.12.2016,1896
30.12.2016,1751
31.12.2016,941
01.01.2017,531
02.01.2017,1029
03.01.2017,1714
04.01.2017,1193
05.01.2017,1966
06.01.2017,1602
07.01.2017,612
08.01.2017,404
09.01.2017,2343
10.01.2017,2039
11.01.2017,2025
12.01.2017,2277
13.01.2017,1295
14.01.2017,1061
15.01.2017,754
16.01.2017,2522
17.01.2017,2374
18.01.2017,2326
19.01.2017,2395
20.01.2017,2300
21.01.2017,1261
22.01.2017,950
23.01.2017,2074
24.01.2017,1894
25.01.2017,2279
26.01.2017,2467
27.01.2017,2322
28.01.2017,1445
29.01.2017,1023
30.01.2017,1824
31.01.2017,2671
01.02.2017,2754
02.02.2017,2896
03.02.2017,2198
04.02.2017,1115
05.02.2017,1284
06.02.2017,2824
07.02.2017,2167
08.02.2017,2672
09.02.2017,2728
10.02.2017,2420
11.02.2017,797
12.02.2017,1161
13.02.2017,2981
14.02.2017,3416
15.02.2017,3897
16.02.2017,2719
17.02.2017,2412
18.02.2017,1802
19.02.2017,1067
20.02.2017,2469
21.02.2017,2963
22.02.2017,1899
23.02.2017,1207
24.02.2017,1943
25.02.2017,1310
26.02.2017,1016
27.02.2017,816
28.02.2017,1814
01.03.2017,2131
02.03.2017,2377
03.03.2017,2949
04.03.2017,2114
05.03.2017,1106
06.03.2017,1901
07.03.2017,2372
08.03.2017,1648
09.03.2017,2309
10.03.2017,3425
11.03.2017,2781
12.03.2017,2926
13.03.2017,4446
14.03.2017,4761
15.03.2017,4588
16.03.2017,5657
17.03.2017,3347
18.03.2017,907
19.03.2017,1099
20.03.2017,3607
21.03.2017,3562
22.03.2017,4262
23.03.2017,4943
24.03.2017,4903
25.03.2017,3801
26.03.2017,3599
27.03.2017,5508
28.03.2017,6035
29.03.2017,4898
30.03.2017,5632
31.03.2017,5949
01.04.2017,2865
02.04.2017,3653
03.04.2017,5162
04.04.2017,5916
05.04.2017,4769
06.04.2017,4341
07.04.2017,4356
08.04.2017,3492
09.04.2017,5432
10.04.2017,4282
11.04.2017,4455
12.04.2017,3985
13.04.2017,3259
14.04.2017,1771
15.04.2017,1216
16.04.2017,896
17.04.2017,1219
18.04.2017,3238
19.04.2017,3939
20.04.2017,4279
21.04.2017,3063
22.04.2017,394
23.04.2017,899
24.04.2017,5197
25.04.2017,4030
26.04.2017,4572
27.04.2017,5035
28.04.2017,4018
29.04.2017,3154
30.04.2017,4465
01.05.2017,678
02.05.2017,2883
03.05.2017,3678
04.05.2017,3707
05.05.2017,4313
06.05.2017,4895
07.05.2017,2610
08.05.2017,4203
09.05.2017,5565
10.05.2017,6391
11.05.2017,5528
12.05.2017,3756
13.05.2017,3302
14.05.2017,2437
15.05.2017,6718
16.05.2017,7645
17.05.2017,8109
18.05.2017,4115
19.05.2017,2272
20.05.2017,3747
21.05.2017,5454
22.05.2017,7119
23.05.2017,7096
24.05.2017,6317
25.05.2017,5391
26.05.2017,6222
27.05.2017,4844
28.05.2017,3194
29.05.2017,6584
30.05.2017,6365
31.05.2017,7145
01.06.2017,7271
02.06.2017,5551
03.06.2017,3309
04.06.2017,2922
05.06.2017,4471
06.06.2017,3664
07.06.2017,3894
08.06.2017,5464
09.06.2017,3858
10.06.2017,5075
11.06.2017,4417
12.06.2017,5912
13.06.2017,6440
14.06.2017,7285
15.06.2017,4211
16.06.2017,4919
17.06.2017,3728
18.06.2017,5675
19.06.2017,7428
20.06.2017,7390
21.06.2017,7477
22.06.2017,6291
23.06.2017,6396
24.06.2017,4280
25.06.2017,2765
26.06.2017,6433
27.06.2017,5493
28.06.2017,3786
29.06.2017,4786
