Datum,Zaehlerstand
01.06.2016,2375.00
02.06.2016,4830.00
03.06.2016,4344.00
04.06.2016,2852.00
05.06.2016,2430.00
06.06.2016,6440.00
07.06.2016,6271.00
08.06.2016,6898.00
09.06.2016,7166.00
10.06.2016,6717.00
11.06.2016,5152.00
12.06.2016,1946.00
13.06.2016,4129.00
14.06.2016,4878.00
15.06.2016,4085.00
16.06.2016,4857.00
17.06.2016,3519.00
18.06.2016,2849.00
19.06.2016,2846.00
20.06.2016,4562.00
21.06.2016,4828.00
22.06.2016,6796.00
23.06.2016,7551.00
24.06.2016,5347.00
25.06.2016,1400.00
26.06.2016,2500.00
27.06.2016,4533.00
28.06.2016,6641.00
29.06.2016,6517.00
30.06.2016,5276.00
01.07.2016,5452.00
02.07.2016,4244.00
03.07.2016,2670.00
04.07.2016,6261.00
05.07.2016,5992.00
06.07.2016,6751.00
07.07.2016,7261.00
08.07.2016,6565.00
09.07.2016,5826.00
10.07.2016,3441.00
11.07.2016,6514.00
12.07.2016,5830.00
13.07.2016,4579.00
14.07.2016,5865.00
15.07.2016,5783.00
16.07.2016,4735.00
17.07.2016,3012.00
18.07.2016,6492.00
19.07.2016,6784.00
20.07.2016,5928.00
21.07.2016,6035.00
22.07.2016,5652.00
23.07.2016,3567.00
24.07.2016,3148.00
25.07.2016,6127.00
26.07.2016,6371.00
27.07.2016,6489.00
28.07.2016,3093.00
29.07.2016,4245.00
30.07.2016,4756.00
31.07.2016,1639.00
01.08.2016,5960.00
02.08.2016,2210.00
03.08.2016,2234.00
04.08.2016,5375.00
05.08.2016,4756.00
06.08.2016,4953.00
07.08.2016,3632.00
08.08.2016,5230.00
09.08.2016,4951.00
10.08.2016,4006.00
11.08.2016,3518.00
12.08.2016,4146.00
13.08.2016,5507.00
14.08.2016,3326.00
15.08.2016,6403.00
16.08.2016,6933.00
17.08.2016,7046.00
18.08.2016,6970.00
19.08.2016,6575.00
20.08.2016,5165.00
21.08.2016,1818.00
22.08.2016,4897.00
23.08.2016,7561.00
24.08.2016,7305.00
25.08.2016,7100.00
26.08.2016,6838.00
27.08.2016,4990.00
28.08.2016,2863.00
29.08.2016,5954.00
30.08.2016,7255.00
31.08.2016,7265.00
01.09.2016,7692.00
02.09.2016,6969.00
03.09.2016,5568.00
04.09.2016,1697.00
05.09.2016,5859.00
06.09.2016,7447.00
07.09.2016,7304.00
08.09.2016,7517.00
09.09.2016,6703.00
10.09.2016,5799.00
11.09.2016,3300.00
12.09.2016,6942.00
13.09.2016,7197.00
14.09.2016,7105.00
15.09.2016,6979.00
16.09.2016,6062.00
17.09.2016,5256.00
18.09.2016,2512.00
19.09.2016,5929.00
20.09.2016,6050.00
21.09.2016,6650.00
22.09.2016,6755.00
23.09.2016,6187.00
24.09.2016,5748.00
25.09.2016,3760.00
26.09.2016,6154.00
27.09.2016,6742.00
28.09.2016,6407.00
29.09.2016,6839.00
30.09.2016,5802.00
01.10.2016,4116.00
02.10.2016,1564.00
03.10.2016,1782.00
04.10.2016,5806.00
05.10.2016,6025.00
06.10.2016,5174.00
07.10.2016,5077.00
08.10.2016,4267.00
09.10.2016,2127.00
10.10.2016,4648.00
11.10.2016,4712.00
12.10.2016,3910.00
13.10.2016,4591.00
14.10.2016,4368.00
15.10.2016,3328.00
16.10.2016,2877.00
17.10.2016,4718.00
18.10.2016,4728.00
19.10.2016,3325.00
20.10.2016,2660.00
21.10.2016,3577.00
22.10.2016,2785.00
23.10.2016,1679.00
24.10.2016,2691.00
25.10.2016,4494.00
26.10.2016,5405.00
27.10.2016,5307.00
28.10.2016,5111.00
29.10.2016,4634.00
30.10.2016,2750.00
31.10.2016,5695.00
01.11.2016,2106.00
02.11.2016,4473.00
03.11.2016,5213.00
04.11.2016,4749.00
05.11.2016,3446.00
06.11.2016,1966.00
07.11.2016,2417.00
08.11.2016,4187.00
09.11.2016,2801.00
10.11.2016,3242.00
11.11.2016,2786.00
12.11.2016,3072.00
13.11.2016,1322.00
14.11.2016,4067.00
15.11.2016,2529.00
16.11.2016,2134.00
17.11.2016,3073.00
18.11.2016,3129.00
19.11.2016,3127.00
20.11.2016,1265.00
21.11.2016,3818.00
22.11.2016,4541.00
23.11.2016,4707.00
24.11.2016,5200.00
25.11.2016,4970.00
26.11.2016,3476.00
27.11.2016,1635.00
28.11.2016,4422.00
29.11.2016,4493.00
30.11.2016,4472.00
01.12.2016,4221.00
02.12.2016,3711.00
03.12.2016,3071.00
04.12.2016,1839.00
05.12.2016,4395.00
06.12.2016,4478.00
07.12.2016,4359.00
08.12.2016,4746.00
09.12.2016,4366.00
10.12.2016,3471.00
11.12.2016,1538.00
12.12.2016,4778.00
13.12.2016,3782.00
14.12.2016,4790.00
15.12.2016,4966.00
16.12.2016,4825.00
17.12.2016,3477.00
18.12.2016,1577.00
19.12.2016,5267.00
20.12.2016,5091.00
21.12.2016,5292.00
22.12.2016,2953.00
23.12.2016,4054.00
24.12.2016,1149.00
25.12.2016,391.00
26.12.2016,468.00
27.12.2016,2680.00
28.12.2016,2860.00
29.12.2016,2916.00
30.12.2016,2819.00
31.12.2016,1365.00
01.01.2017,590.00
02.01.2017,1702.00
03.01.2017,2580.00
04.01.2017,1906.00
05.01.2017,2953.00
06.01.2017,2332.00
07.01.2017,1375.00
08.01.2017,641.00
09.01.2017,2971.00
10.01.2017,2951.00
11.01.2017,2707.00
12.01.2017,3181.00
13.01.2017,1978.00
14.01.2017,2055.00
15.01.2017,987.00
16.01.2017,3213.00
17.01.2017,3129.00
18.01.2017,3059.00
19.01.2017,3261.00
20.01.2017,3077.00
21.01.2017,2385.00
22.01.2017,1086.00
23.01.2017,2842.00
24.01.2017,2484.00
25.01.2017,3068.00
26.01.2017,3333.00
27.01.2017,3138.00
28.01.2017,2538.00
29.01.2017,1276.00
30.01.2017,2496.00
31.01.2017,3503.00
01.02.2017,3624.00
02.02.2017,4117.00
03.02.2017,3051.00
04.02.2017,2278.00
05.02.2017,1418.00
06.02.2017,3715.00
07.02.2017,2805.00
08.02.2017,3567.00
09.02.2017,3868.00
10.02.2017,3258.00
11.02.2017,1644.00
12.02.2017,1228.00
13.02.2017,3892.00
14.02.2017,4372.00
15.02.2017,4784.00
16.02.2017,3434.00
17.02.2017,3028.00
18.02.2017,3105.00
19.02.2017,1277.00
20.02.2017,3198.00
21.02.2017,4122.00
22.02.2017,2499.00
23.02.2017,1293.00
24.02.2017,2607.00
25.02.2017,1833.00
26.02.2017,794.00
27.02.2017,568.00
28.02.2017,2215.00
01.03.2017,2541.00
02.03.2017,3172.00
03.03.2017,3912.00
04.03.2017,3329.00
05.03.2017,1159.00
06.03.2017,2393.00
07.03.2017,2704.00
08.03.2017,1894.00
09.03.2017,2934.00
10.03.2017,4367.00
11.03.2017,3836.00
12.03.2017,2473.00
13.03.2017,4991.00
14.03.2017,5391.00
15.03.2017,5115.00
16.03.2017,6064.00
17.03.2017,3971.00
18.03.2017,1533.00
19.03.2017,1280.00
20.03.2017,4176.00
21.03.2017,4158.00
22.03.2017,4895.00
23.03.2017,5476.00
24.03.2017,5254.00
25.03.2017,4859.00
26.03.2017,3141.00
27.03.2017,6013.00
28.03.2017,6561.00
29.03.2017,5528.00
30.03.2017,6335.00
31.03.2017,6519.00
01.04.2017,4222.00
02.04.2017,3186.00
03.04.2017,5688.00
04.04.2017,6625.00
05.04.2017,5489.00
06.04.2017,5075.00
07.04.2017,5017.00
08.04.2017,4725.00
09.04.2017,4081.00
10.04.2017,4959.00
11.04.2017,5148.00
12.04.2017,4714.00
13.04.2017,4349.00
14.04.2017,1458.00
15.04.2017,1924.00
16.04.2017,830.00
17.04.2017,1022.00
18.04.2017,4179.00
19.04.2017,4490.00
20.04.2017,5073.00
21.04.2017,4483.00
22.04.2017,3099.00
23.04.2017,1673.00
24.04.2017,5833.00
25.04.2017,4778.00
26.04.2017,5271.00
27.04.2017,5679.00
28.04.2017,4823.00
29.04.2017,4325.00
30.04.2017,3482.00
01.05.2017,708.00
02.05.2017,3514.00
03.05.2017,4618.00
04.05.2017,4640.00
05.05.2017,5320.00
06.05.2017,5433.00
07.05.2017,2344.00
08.05.2017,4803.00
09.05.2017,6213.00
10.05.2017,6772.00
11.05.2017,6295.00
12.05.2017,4744.00
13.05.2017,4464.00
14.05.2017,2038.00
15.05.2017,6848.00
16.05.2017,7668.00
17.05.2017,8250.00
18.05.2017,4680.00
19.05.2017,2699.00
20.05.2017,5080.00
21.05.2017,4275.00
22.05.2017,7528.00
23.05.2017,7790.00
24.05.2017,7397.00
25.05.2017,4281.00
26.05.2017,7447.00
27.05.2017,5562.00
28.05.2017,2838.00
29.05.2017,7413.00
30.05.2017,7766.00
31.05.2017,7945.00
01.06.2017,8101.00
02.06.2017,6592.00
03.06.2017,5012.00
04.06.2017,2424.00
05.06.2017,3591.00
06.06.2017,4658.00
07.06.2017,4649.00
08.06.2017,6420.00
09.06.2017,4562.00
10.06.2017,6069.00
11.06.2017,3440.00
12.06.2017,6814.00
13.06.2017,7058.00
14.06.2017,7848.00
15.06.2017,3365.00
16.06.2017,6189.00
17.06.2017,4880.00
18.06.2017,4415.00
19.06.2017,8074.00
20.06.2017,8339.00
21.06.2017,8457.00
22.06.2017,7202.00
23.06.2017,7431.00
24.06.2017,5533.00
25.06.2017,2685.00
26.06.2017,7051.00
27.06.2017,6249.00
28.06.2017,4818.00
29.06.2017,5906.00
30.06.2017,6369.00
01.07.2017,2028.00
02.07.2017,2103.00
03.07.2017,7230.00
04.07.2017,7875.00
05.07.2017,8186.00
06.07.2017,6935.00
07.07.2017,7955.00
08.07.2017,6446.00
09.07.2017,3959.00
10.07.2017,5841.00
11.07.2017,7241.00
12.07.2017,2959.00
13.07.2017,7273.00
14.07.2017,5369.00
15.07.2017,5187.00
16.07.2017,2883.00
17.07.2017,5134.00
18.07.2017,7343.00
19.07.2017,5402.00
20.07.2017,5260.00
21.07.2017,6704.00
22.07.2017,5028.00
23.07.2017,2315.00
24.07.2017,3087.00
25.07.2017,2283.00
26.07.2017,5322.00
27.07.2017,5825.00
28.07.2017,5903.00
29.07.2017,4529.00
30.07.2017,3269.00
31.07.2017,6930.00
01.08.2017,4902.00
02.08.2017,6127.00
03.08.2017,4941.00
04.08.2017,5954.00
05.08.2017,2920.00
06.08.2017,3250.00
07.08.2017,6216.00
08.08.2017,4382.00
09.08.2017,6068.00
10.08.2017,1816.00
11.08.2017,3366.00
12.08.2017,2352.00
13.08.2017,3482.00
14.08.2017,6245.00
15.08.2017,4517.00
16.08.2017,6342.00
17.08.2017,5188.00
18.08.2017,2612.00
19.08.2017,3479.00
20.08.2017,2158.00
21.08.2017,6169.00
22.08.2017,6685.00
23.08.2017,7013.00
24.08.2017,6478.00
25.08.2017,6307.00
26.08.2017,4974.00
27.08.2017,3558.00
28.08.2017,6890.00
29.08.2017,7413.00
30.08.2017,6107.00
31.08.2017,4166.00
01.09.2017,5944.00
02.09.2017,3973.00
03.09.2017,3601.00
04.09.2017,6324.00
05.09.2017,6170.00
06.09.2017,4687.00
07.09.2017,5876.00
08.09.2017,3843.00
09.09.2017,2542.00
10.09.2017,2875.00
11.09.2017,4228.00
12.09.2017,4457.00
13.09.2017,3635.00
14.09.2017,3423.00
15.09.2017,4080.00
16.09.2017,3832.00
17.09.2017,2153.00
18.09.2017,3799.00
19.09.2017,4308.00
20.09.2017,4947.00
21.09.2017,6087.00
22.09.2017,5562.00
23.09.2017,4330.00
24.09.2017,2554.00
25.09.2017,5509.00
26.09.2017,5726.00
27.09.2017,6059.00
28.09.2017,5668.00
29.09.2017,5941.00
30.09.2017,1428.00
01.10.2017,2280.00
02.10.2017,4526.00
03.10.2017,1981.00
04.10.2017,5474.00
05.10.2017,4220.00
06.10.2017,3768.00
07.10.2017,2720.00
08.10.2017,1602.00
09.10.2017,4436.00
10.10.2017,4676.00
11.10.2017,5395.00
12.10.2017,5889.00
13.10.2017,5458.00
14.10.2017,5343.00
15.10.2017,3588.00
16.10.2017,6356.00
17.10.2017,6240.00
18.10.2017,6472.00
19.10.2017,6490.00
20.10.2017,4524.00
21.10.2017,3466.00
22.10.2017,1562.00
23.10.2017,4600.00
24.10.2017,4532.00
25.10.2017,5178.00
26.10.2017,5187.00
27.10.2017,4645.00
28.10.2017,2727.00
29.10.2017,1317.00
30.10.2017,4427.00
31.10.2017,1587.00
01.11.2017,2203.00
02.11.2017,5163.00
03.11.2017,4803.00
04.11.2017,4223.00
05.11.2017,1516.00
06.11.2017,4788.00
07.11.2017,5066.00
08.11.2017,4424.00
09.11.2017,5229.00
10.11.2017,4180.00
11.11.2017,1359.00
12.11.2017,715.00
13.11.2017,4530.00
14.11.2017,4889.00
15.11.2017,4567.00
16.11.2017,4794.00
17.11.2017,4713.00
18.11.2017,2940.00
19.11.2017,1238.00
20.11.2017,2732.00
21.11.2017,3589.00
22.11.2017,5226.00
23.11.2017,4872.00
24.11.2017,3345.00
25.11.2017,2680.00
26.11.2017,1370.00
27.11.2017,2474.00
28.11.2017,4761.00
29.11.2017,4791.00
30.11.2017,3566.00
01.12.2017,3975.00
02.12.2017,2814.00
03.12.2017,709.00
04.12.2017,3855.00
05.12.2017,4745.00
06.12.2017,4822.00
07.12.2017,4191.00
08.12.2017,3350.00
09.12.2017,1938.00
10.12.2017,377.00
11.12.2017,2593.00
12.12.2017,4257.00
13.12.2017,3419.00
14.12.2017,3797.00
15.12.2017,4053.00
16.12.2017,2807.00
17.12.2017,1368.00
18.12.2017,3660.00
19.12.2017,4357.00
20.12.2017,4126.00
21.12.2017,4041.00
22.12.2017,3201.00
23.12.2017,2577.00
24.12.2017,624.00
25.12.2017,570.00
26.12.2017,679.00
27.12.2017,2185.00
28.12.2017,2473.00
29.12.2017,1905.00
30.12.2017,1588.00
31.12.2017,849.00
01.01.2018,520.00
02.01.2018,2335.00
03.01.2018,1971.00
04.01.2018,2338.00
05.01.2018,3330.00
06.01.2018,2762.00
07.01.2018,1576.00
08.01.2018,3734.00
09.01.2018,3889.00
10.01.2018,3601.00
11.01.2018,3996.00
