Datum,Zaehlerstand
01.06.2016,633.00
02.06.2016,1252.00
03.06.2016,1023.00
04.06.2016,721.00
05.06.2016,1844.00
06.06.2016,2017.00
07.06.2016,1828.00
08.06.2016,2320.00
09.06.2016,2377.00
10.06.2016,2549.00
11.06.2016,2026.00
12.06.2016,1396.00
13.06.2016,1058.00
14.06.2016,1151.00
15.06.2016,952.00
16.06.2016,1382.00
17.06.2016,897.00
18.06.2016,1121.00
19.06.2016,2541.00
20.06.2016,1388.00
21.06.2016,1262.00
22.06.2016,2392.00
23.06.2016,2968.00
24.06.2016,1561.00
25.06.2016,338.00
26.06.2016,1819.00
27.06.2016,1238.00
28.06.2016,2137.00
29.06.2016,2237.00
30.06.2016,1453.00
01.07.2016,1417.00
02.07.2016,1221.00
03.07.2016,2241.00
04.07.2016,1987.00
05.07.2016,1805.00
06.07.2016,2369.00
07.07.2016,2486.00
08.07.2016,2055.00
09.07.2016,2583.00
10.07.2016,3690.00
11.07.2016,2052.00
12.07.2016,1888.00
13.07.2016,1440.00
14.07.2016,1839.00
15.07.2016,1986.00
16.07.2016,2143.00
17.07.2016,2656.00
18.07.2016,2864.00
19.07.2016,3104.00
20.07.2016,2369.00
21.07.2016,2102.00
22.07.2016,1981.00
23.07.2016,1048.00
24.07.2016,3449.00
25.07.2016,2454.00
26.07.2016,2341.00
27.07.2016,2522.00
28.07.2016,1145.00
29.07.2016,1299.00
30.07.2016,2100.00
31.07.2016,1165.00
01.08.2016,2330.00
02.08.2016,572.00
03.08.2016,539.00
04.08.2016,1723.00
05.08.2016,1488.00
06.08.2016,2414.00
07.08.2016,4519.00
08.08.2016,1763.00
09.08.2016,1558.00
10.08.2016,1176.00
11.08.2016,1070.00
12.08.2016,1162.00
13.08.2016,2874.00
14.08.2016,3568.00
15.08.2016,2793.00
16.08.2016,3341.00
17.08.2016,3708.00
18.08.2016,3087.00
19.08.2016,2479.00
20.08.2016,2144.00
21.08.2016,1007.00
22.08.2016,1534.00
23.08.2016,3445.00
24.08.2016,3423.00
25.08.2016,3136.00
26.08.2016,2798.00
27.08.2016,2307.00
28.08.2016,2444.00
29.08.2016,1910.00
30.08.2016,2894.00
31.08.2016,3038.00
01.09.2016,2662.00
02.09.2016,2561.00
03.09.2016,2007.00
04.09.2016,778.00
05.09.2016,1758.00
06.09.2016,2951.00
07.09.2016,3090.00
08.09.2016,2969.00
09.09.2016,2697.00
10.09.2016,2653.00
11.09.2016,2883.00
12.09.2016,2548.00
13.09.2016,2916.00
14.09.2016,2941.00
15.09.2016,2646.00
16.09.2016,1745.00
17.09.2016,1597.00
18.09.2016,1716.00
19.09.2016,1789.00
20.09.2016,1775.00
21.09.2016,2493.00
22.09.2016,2329.00
23.09.2016,1917.00
24.09.2016,2410.00
25.09.2016,3200.00
26.09.2016,1939.00
27.09.2016,2363.00
28.09.2016,2028.00
29.09.2016,2267.00
30.09.2016,1416.00
01.10.2016,919.00
02.10.2016,897.00
03.10.2016,1210.00
04.10.2016,1523.00
05.10.2016,1742.00
06.10.2016,1281.00
07.10.2016,1204.00
08.10.2016,971.00
09.10.2016,1360.00
10.10.2016,993.00
11.10.2016,1109.00
12.10.2016,796.00
13.10.2016,1103.00
14.10.2016,1051.00
15.10.2016,732.00
16.10.2016,2838.00
17.10.2016,1201.00
18.10.2016,1169.00
19.10.2016,658.00
20.10.2016,523.00
21.10.2016,700.00
22.10.2016,540.00
23.10.2016,1005.00
24.10.2016,714.00
25.10.2016,1001.00
26.10.2016,1371.00
27.10.2016,1371.00
28.10.2016,1279.00
29.10.2016,1192.00
30.10.2016,1783.00
31.10.2016,1439.00
01.11.2016,1585.00
02.11.2016,1097.00
03.11.2016,1239.00
04.11.2016,1054.00
05.11.2016,540.00
06.11.2016,603.00
07.11.2016,561.00
08.11.2016,879.00
09.11.2016,599.00
