Datum,Zaehlerstand
01.06.2016,366
02.06.2016,633
03.06.2016,508
04.06.2016,282
05.06.2016,689
06.06.2016,908
07.06.2016,920
08.06.2016,976
09.06.2016,980
10.06.2016,1043
11.06.2016,590
12.06.2016,476
13.06.2016,569
14.06.2016,683
15.06.2016,583
16.06.2016,659
17.06.2016,498
18.06.2016,338
19.06.2016,554
20.06.2016,706
21.06.2016,735
22.06.2016,984
23.06.2016,1186
24.06.2016,698
25.06.2016,105
26.06.2016,546
27.06.2016,619
28.06.2016,857
29.06.2016,951
30.06.2016,620
01.07.2016,687
02.07.2016,383
03.07.2016,642
04.07.2016,829
05.07.2016,776
06.07.2016,915
07.07.2016,948
08.07.2016,938
09.07.2016,689
10.07.2016,992
11.07.2016,803
12.07.2016,745
13.07.2016,594
14.07.2016,696
15.07.2016,723
16.07.2016,462
17.07.2016,629
18.07.2016,1081
19.07.2016,1096
20.07.2016,1050
21.07.2016,734
22.07.2016,737
23.07.2016,321
24.07.2016,874
25.07.2016,839
26.07.2016,911
27.07.2016,813
28.07.2016,370
29.07.2016,513
30.07.2016,517
31.07.2016,342
01.08.2016,805
02.08.2016,263
03.08.2016,259
04.08.2016,573
05.08.2016,523
06.08.2016,506
07.08.2016,1137
08.08.2016,604
09.08.2016,579
10.08.2016,469
11.08.2016,411
12.08.2016,484
13.08.2016,675
14.08.2016,720
15.08.2016,853
16.08.2016,972
17.08.2016,1005
18.08.2016,945
19.08.2016,808
20.08.2016,637
21.08.2016,316
22.08.2016,661
23.08.2016,1275
24.08.2016,1326
25.08.2016,1322
26.08.2016,1103
27.08.2016,691
28.08.2016,808
29.08.2016,854
30.08.2016,1007
31.08.2016,1100
01.09.2016,1003
02.09.2016,1054
03.09.2016,725
04.09.2016,336
05.09.2016,808
06.09.2016,1124
07.09.2016,1126
08.09.2016,1160
09.09.2016,880
10.09.2016,709
11.09.2016,755
12.09.2016,1019
13.09.2016,1200
14.09.2016,1081
15.09.2016,1014
16.09.2016,746
17.09.2016,614
18.09.2016,497
19.09.2016,802
20.09.2016,804
21.09.2016,930
22.09.2016,896
23.09.2016,834
24.09.2016,738
25.09.2016,827
26.09.2016,924
27.09.2016,949
28.09.2016,846
29.09.2016,916
30.09.2016,704
01.10.2016,383
02.10.2016,332
03.10.2016,420
04.10.2016,724
05.10.2016,826
06.10.2016,648
07.10.2016,593
08.10.2016,392
09.10.2016,552
10.10.2016,563
11.10.2016,567
12.10.2016,480
13.10.2016,552
14.10.2016,494
15.10.2016,243
16.10.2016,570
17.10.2016,613
18.10.2016,617
19.10.2016,428
20.10.2016,347
21.10.2016,461
22.10.2016,258
23.10.2016,346
24.10.2016,441
25.10.2016,552
26.10.2016,751
27.10.2016,651
28.10.2016,597
29.10.2016,357
30.10.2016,537
31.10.2016,713
01.11.2016,521
02.11.2016,560
03.11.2016,637
04.11.2016,534
05.11.2016,309
06.11.2016,367
07.11.2016,381
08.11.2016,529
09.11.2016,398
10.11.2016,424
11.11.2016,414
12.11.2016,252
13.11.2016,223
14.11.2016,560
15.11.2016,317
16.11.2016,309
17.11.2016,395
18.11.2016,381
19.11.2016,308
20.11.2016,190
21.11.2016,483
22.11.2016,528
23.11.2016,564
24.11.2016,575
25.11.2016,576
26.11.2016,256
27.11.2016,211
28.11.2016,519
29.11.2016,536
30.11.2016,499
01.12.2016,481
02.12.2016,398
03.12.2016,224
04.12.2016,259
05.12.2016,508
06.12.2016,504
07.12.2016,464
08.12.2016,489
09.12.2016,492
10.12.2016,296
11.12.2016,219
12.12.2016,545
13.12.2016,453
14.12.2016,486
15.12.2016,517
16.12.2016,491
17.12.2016,266
18.12.2016,192
19.12.2016,534
20.12.2016,527
21.12.2016,468
22.12.2016,257
23.12.2016,312
24.12.2016,117
25.12.2016,63
26.12.2016,97
27.12.2016,244
28.12.2016,220
29.12.2016,274
30.12.2016,250
31.12.2016,132
01.01.2017,116
02.01.2017,171
03.01.2017,228
04.01.2017,226
05.01.2017,348
06.01.2017,274
07.01.2017,85
08.01.2017,108
09.01.2017,452
10.01.2017,368
11.01.2017,369
12.01.2017,432
13.01.2017,283
14.01.2017,198
15.01.2017,183
16.01.2017,469
17.01.2017,405
18.01.2017,405
19.01.2017,419
20.01.2017,357
21.01.2017,223
22.01.2017,234
23.01.2017,421
24.01.2017,350
25.01.2017,444
26.01.2017,449
27.01.2017,396
28.01.2017,294
29.01.2017,193
30.01.2017,354
31.01.2017,438
01.02.2017,462
02.02.2017,486
03.02.2017,397
04.02.2017,194
05.02.2017,262
06.02.2017,537
07.02.2017,383
08.02.2017,521
09.02.2017,502
10.02.2017,386
11.02.2017,123
12.02.2017,306
13.02.2017,511
14.02.2017,567
15.02.2017,672
16.02.2017,463
17.02.2017,378
18.02.2017,312
19.02.2017,257
20.02.2017,468
21.02.2017,422
22.02.2017,345
23.02.2017,269
24.02.2017,325
25.02.2017,291
26.02.2017,265
27.02.2017,285
28.02.2017,361
01.03.2017,368
02.03.2017,385
03.03.2017,527
04.03.2017,363
05.03.2017,283
06.03.2017,345
07.03.2017,352
08.03.2017,334
09.03.2017,339
10.03.2017,590
11.03.2017,497
12.03.2017,532
13.03.2017,647
14.03.2017,708
15.03.2017,697
16.03.2017,813
17.03.2017,526
18.03.2017,129
19.03.2017,326
20.03.2017,590
21.03.2017,520
22.03.2017,637
23.03.2017,765
24.03.2017,691
25.03.2017,665
26.03.2017,796
27.03.2017,843
28.03.2017,918
29.03.2017,774
30.03.2017,861
31.03.2017,927
01.04.2017,539
02.04.2017,1038
03.04.2017,841
04.04.2017,882
05.04.2017,738
06.04.2017,647
07.04.2017,632
08.04.2017,489
09.04.2017,1029
10.04.2017,639
11.04.2017,587
12.04.2017,614
13.04.2017,445
14.04.2017,304
15.04.2017,203
16.04.2017,176
17.04.2017,222
18.04.2017,507
19.04.2017,629
20.04.2017,658
21.04.2017,517
22.04.2017,331
23.04.2017,446
24.04.2017,821
25.04.2017,644
26.04.2017,696
27.04.2017,735
28.04.2017,685
29.04.2017,434
30.04.2017,844
01.05.2017,145
02.05.2017,471
03.05.2017,648
04.05.2017,616
05.05.2017,717
06.05.2017,867
07.05.2017,673
08.05.2017,477
09.05.2017,848
10.05.2017,1003
11.05.2017,889
12.05.2017,622
13.05.2017,671
14.05.2017,461
15.05.2017,1050
16.05.2017,1187
17.05.2017,1252
18.05.2017,696
19.05.2017,401
20.05.2017,545
21.05.2017,977
22.05.2017,1106
23.05.2017,1152
24.05.2017,972
25.05.2017,1136
26.05.2017,904
27.05.2017,871
28.05.2017,882
29.05.2017,1190
30.05.2017,979
31.05.2017,1120
01.06.2017,1204
02.06.2017,930
03.06.2017,544
04.06.2017,565
05.06.2017,906
06.06.2017,643
07.06.2017,694
08.06.2017,886
09.06.2017,678
10.06.2017,861
11.06.2017,1116
12.06.2017,967
13.06.2017,1068
14.06.2017,1237
15.06.2017,742
16.06.2017,755
17.06.2017,575
18.06.2017,949
19.06.2017,1287
20.06.2017,1300
21.06.2017,1337
22.06.2017,1043
23.06.2017,1006
24.06.2017,680
25.06.2017,615
26.06.2017,1022
27.06.2017,967
28.06.2017,690
29.06.2017,781
30.06.2017,837
01.07.2017,206
02.07.2017,559
03.07.2017,1032
04.07.2017,1189
05.07.2017,1273
06.07.2017,984
07.07.2017,1049
08.07.2017,896
09.07.2017,889
10.07.2017,747
11.07.2017,1006
12.07.2017,441
13.07.2017,1088
14.07.2017,741
15.07.2017,613
16.07.2017,502
17.07.2017,773
18.07.2017,1189
19.07.2017,842
20.07.2017,678
21.07.2017,958
22.07.2017,602
23.07.2017,549
24.07.2017,374
25.07.2017,300
26.07.2017,680
27.07.2017,709
28.07.2017,668
29.07.2017,529
30.07.2017,702
31.07.2017,777
01.08.2017,554
02.08.2017,718
03.08.2017,573
04.08.2017,658
05.08.2017,256
06.08.2017,774
07.08.2017,909
08.08.2017,549
09.08.2017,744
10.08.2017,234
11.08.2017,382
12.08.2017,222
13.08.2017,636
14.08.2017,803
15.08.2017,522
16.08.2017,756
17.08.2017,595
18.08.2017,276
19.08.2017,415
20.08.2017,443
21.08.2017,740
22.08.2017,971
23.08.2017,1029
24.08.2017,814
25.08.2017,716
26.08.2017,571
27.08.2017,814
28.08.2017,1076
29.08.2017,1298
30.08.2017,801
31.08.2017,533
01.09.2017,791
02.09.2017,451
03.09.2017,935
04.09.2017,854
05.09.2017,857
06.09.2017,627
07.09.2017,749
08.09.2017,522
09.09.2017,277
10.09.2017,670
11.09.2017,579
12.09.2017,644
13.09.2017,511
14.09.2017,487
15.09.2017,572
16.09.2017,475
17.09.2017,413
18.09.2017,526
19.09.2017,656
20.09.2017,649
21.09.2017,953
22.09.2017,692
23.09.2017,543
24.09.2017,610
25.09.2017,727
26.09.2017,829
27.09.2017,833
28.09.2017,715
29.09.2017,725
30.09.2017,120
01.10.2017,521
02.10.2017,527
03.10.2017,434
04.10.2017,683
05.10.2017,542
06.10.2017,459
07.10.2017,276
08.10.2017,288
09.10.2017,647
10.10.2017,642
11.10.2017,758
12.10.2017,777
13.10.2017,771
14.10.2017,749
15.10.2017,841
16.10.2017,983
17.10.2017,906
18.10.2017,912
19.10.2017,899
20.10.2017,562
21.10.2017,375
22.10.2017,256
23.10.2017,569
24.10.2017,546
25.10.2017,656
26.10.2017,652
27.10.2017,590
28.10.2017,228
29.10.2017,221
30.10.2017,463
31.10.2017,274
01.11.2017,504
02.11.2017,562
03.11.2017,522
04.11.2017,460
05.11.2017,299
06.11.2017,685
07.11.2017,659
08.11.2017,587
09.11.2017,692
10.11.2017,551
11.11.2017,214
12.11.2017,176
13.11.2017,641
14.11.2017,631
15.11.2017,553
16.11.2017,685
17.11.2017,607
18.11.2017,272
19.11.2017,228
20.11.2017,427
21.11.2017,471
22.11.2017,666
23.11.2017,627
24.11.2017,389
25.11.2017,280
26.11.2017,215
27.11.2017,385
28.11.2017,570
29.11.2017,563
30.11.2017,452
01.12.2017,487
02.12.2017,249
03.12.2017,96
04.12.2017,475
05.12.2017,552
06.12.2017,554
07.12.2017,520
08.12.2017,420
09.12.2017,164
10.12.2017,69
11.12.2017,370
12.12.2017,470
13.12.2017,398
14.12.2017,390
15.12.2017,444
16.12.2017,236
17.12.2017,189
18.12.2017,400
19.12.2017,437
20.12.2017,391
21.12.2017,408
22.12.2017,318
23.12.2017,174
24.12.2017,128
25.12.2017,118
26.12.2017,116
27.12.2017,214
28.12.2017,231
29.12.2017,232
30.12.2017,156
31.12.2017,170
01.01.2018,92
02.01.2018,329
03.01.2018,244
04.01.2018,318
05.01.2018,463
06.01.2018,321
07.01.2018,277
08.01.2018,594
09.01.2018,598
10.01.2018,574
11.01.2018,574
12.01.2018,555
13.01.2018,294
14.01.2018,324
15.01.2018,512
16.01.2018,457
17.01.2018,362
18.01.2018,305
19.01.2018,513
20.01.2018,169
21.01.2018,215
22.01.2018,466
23.01.2018,537
24.01.2018,553
25.01.2018,462
26.01.2018,574
27.01.2018,428
28.01.2018,260
29.01.2018,550
30.01.2018,640
31.01.2018,462
01.02.2018,470
02.02.2018,453
03.02.2018,267
04.02.2018,241
05.02.2018,567
06.02.2018,465
07.02.2018,410
08.02.2018,332
09.02.2018,331
10.02.2018,219
11.02.2018,159
12.02.2018,222
13.02.2018,394
14.02.2018,481
15.02.2018,214
16.02.2018,511
17.02.2018,298
18.02.2018,373
19.02.2018,480
20.02.2018,522
21.02.2018,540
22.02.2018,478
23.02.2018,550
24.02.2018,293
25.02.2018,284
26.02.2018,453
27.02.2018,379
28.02.2018,363
01.03.2018,344
02.03.2018,356
03.03.2018,105
04.03.2018,255
05.03.2018,585
06.03.2018,630
07.03.2018,533
08.03.2018,483
09.03.2018,480
10.03.2018,400
11.03.2018,377
12.03.2018,560
13.03.2018,351
14.03.2018,685
15.03.2018,581
16.03.2018,446
17.03.2018,160
18.03.2018,174
19.03.2018,552
20.03.2018,498
21.03.2018,759
