Datum,Zaehlerstand
01.06.2016,2080
02.06.2016,3741
03.06.2016,3025
04.06.2016,1360
05.06.2016,2456
06.06.2016,5344
07.06.2016,5324
08.06.2016,6406
09.06.2016,5948
10.06.2016,5223
11.06.2016,2955
12.06.2016,1725
13.06.2016,3385
14.06.2016,3984
15.06.2016,3519
16.06.2016,3990
17.06.2016,2605
18.06.2016,1422
19.06.2016,2074
20.06.2016,3798
21.06.2016,4291
22.06.2016,5279
23.06.2016,6125
24.06.2016,3628
25.06.2016,754
26.06.2016,2223
27.06.2016,3566
28.06.2016,5261
29.06.2016,5579
30.06.2016,4000
01.07.2016,3459
02.07.2016,1962
03.07.2016,2453
04.07.2016,4465
05.07.2016,4588
06.07.2016,5167
07.07.2016,6204
08.07.2016,4426
09.07.2016,3370
10.07.2016,3358
11.07.2016,4584
12.07.2016,4427
13.07.2016,3752
14.07.2016,4330
15.07.2016,3949
16.07.2016,2355
17.07.2016,2319
18.07.2016,5143
19.07.2016,5642
20.07.2016,4912
21.07.2016,4666
22.07.2016,4071
23.07.2016,1983
24.07.2016,2674
25.07.2016,4212
26.07.2016,4220
27.07.2016,4423
28.07.2016,2097
29.07.2016,2614
30.07.2016,2506
31.07.2016,1229
01.08.2016,3516
02.08.2016,1492
03.08.2016,1531
04.08.2016,2954
05.08.2016,2690
06.08.2016,2371
07.08.2016,3013
08.08.2016,3110
09.08.2016,2863
10.08.2016,2276
11.08.2016,2061
12.08.2016,2186
13.08.2016,2902
14.08.2016,2648
15.08.2016,4128
16.08.2016,4577
17.08.2016,4461
18.08.2016,4145
19.08.2016,3541
20.08.2016,2433
21.08.2016,1284
22.08.2016,2995
23.08.2016,5224
24.08.2016,5088
25.08.2016,4899
26.08.2016,4322
27.08.2016,3164
28.08.2016,2657
29.08.2016,3701
30.08.2016,4783
31.08.2016,4720
01.09.2016,4848
02.09.2016,4276
03.09.2016,2939
04.09.2016,1300
05.09.2016,3833
06.09.2016,4859
07.09.2016,4941
08.09.2016,4866
09.09.2016,4084
10.09.2016,3205
11.09.2016,2509
12.09.2016,4520
13.09.2016,4875
14.09.2016,4970
15.09.2016,4487
16.09.2016,3698
17.09.2016,2177
18.09.2016,1814
19.09.2016,3641
20.09.2016,3662
21.09.2016,4340
22.09.2016,4110
23.09.2016,3703
24.09.2016,2807
25.09.2016,2846
26.09.2016,3935
27.09.2016,4426
28.09.2016,4094
29.09.2016,4363
30.09.2016,3272
01.10.2016,1555
02.10.2016,1246
03.10.2016,1402
04.10.2016,3502
05.10.2016,3727
06.10.2016,3228
07.10.2016,2958
08.10.2016,1722
09.10.2016,1663
10.10.2016,2731
11.10.2016,2853
12.10.2016,2319
13.10.2016,2857
14.10.2016,2473
15.10.2016,1472
