Datum,Zaehlerstand
01.06.2016,724
02.06.2016,1794
03.06.2016,1589
04.06.2016,963
05.06.2016,3402
06.06.2016,2954
07.06.2016,2440
08.06.2016,3297
09.06.2016,3228
10.06.2016,3201
11.06.2016,2323
12.06.2016,1428
13.06.2016,1311
14.06.2016,1728
15.06.2016,1320
16.06.2016,1871
17.06.2016,1138
18.06.2016,896
19.06.2016,2368
20.06.2016,1735
21.06.2016,1772
22.06.2016,3101
23.06.2016,3689
24.06.2016,2119
25.06.2016,443
26.06.2016,2398
27.06.2016,1654
28.06.2016,2896
29.06.2016,2888
30.06.2016,1840
01.07.2016,1874
02.07.2016,1321
03.07.2016,2280
04.07.2016,2466
05.07.2016,2298
06.07.2016,3002
07.07.2016,3254
08.07.2016,2674
09.07.2016,3203
10.07.2016,4356
11.07.2016,2673
12.07.2016,2309
13.07.2016,1856
14.07.2016,2352
15.07.2016,2440
16.07.2016,2774
17.07.2016,3192
18.07.2016,3684
19.07.2016,4061
20.07.2016,3216
21.07.2016,2633
22.07.2016,2536
23.07.2016,1472
24.07.2016,3967
25.07.2016,2935
26.07.2016,2963
27.07.2016,3186
28.07.2016,1156
29.07.2016,1498
30.07.2016,2378
31.07.2016,1239
01.08.2016,2722
02.08.2016,674
03.08.2016,682
04.08.2016,2117
05.08.2016,1853
06.08.2016,2378
07.08.2016,5122
08.08.2016,2289
09.08.2016,1910
10.08.2016,1369
11.08.2016,1402
12.08.2016,1621
13.08.2016,3427
14.08.2016,4033
15.08.2016,3321
16.08.2016,4082
17.08.2016,4301
18.08.2016,3711
19.08.2016,3029
20.08.2016,2299
21.08.2016,1163
22.08.2016,1842
23.08.2016,4258
24.08.2016,4180
25.08.2016,3968
26.08.2016,3888
27.08.2016,2518
28.08.2016,3310
29.08.2016,2354
30.08.2016,3661
31.08.2016,3616
01.09.2016,3410
02.09.2016,3419
03.09.2016,3038
04.09.2016,1352
05.09.2016,2289
06.09.2016,3840
07.09.2016,3933
08.09.2016,4110
09.09.2016,3199
10.09.2016,3087
11.09.2016,3171
12.09.2016,3532
13.09.2016,3799
14.09.2016,3840
15.09.2016,3345
16.09.2016,2385
17.09.2016,1650
18.09.2016,1895
19.09.2016,2200
20.09.2016,2308
21.09.2016,3040
22.09.2016,2793
23.09.2016,2330
24.09.2016,2943
25.09.2016,3881
26.09.2016,2567
27.09.2016,3011
28.09.2016,2684
29.09.2016,2071
30.09.2016,1945
01.10.2016,1021
02.10.2016,943
03.10.2016,1361
04.10.2016,2121
05.10.2016,2321
06.10.2016,1775
07.10.2016,1652
08.10.2016,1291
09.10.2016,1617
10.10.2016,1433
11.10.2016,1621
12.10.2016,1206
13.10.2016,1568
14.10.2016,1439
15.10.2016,995
16.10.2016,2709
17.10.2016,1577
18.10.2016,1546
19.10.2016,905
20.10.2016,705
21.10.2016,989
22.10.2016,624
23.10.2016,1001
24.10.2016,848
25.10.2016,1302
26.10.2016,1678
27.10.2016,1753
28.10.2016,1516
29.10.2016,1331
30.10.2016,2085
31.10.2016,1892
01.11.2016,1842
02.11.2016,1363
03.11.2016,1627
04.11.2016,1450
05.11.2016,652
06.11.2016,784
07.11.2016,702
08.11.2016,1231
09.11.2016,833
10.11.2016,770
11.11.2016,930
12.11.2016,702
13.11.2016,575
14.11.2016,1237
15.11.2016,682
16.11.2016,600
17.11.2016,785
18.11.2016,803
19.11.2016,632
20.11.2016,516
21.11.2016,1034
22.11.2016,1434
23.11.2016,1395
24.11.2016,1612
25.11.2016,1516
26.11.2016,731
27.11.2016,615
28.11.2016,1299
29.11.2016,1316
30.11.2016,1204
01.12.2016,1095
02.12.2016,914
03.12.2016,621
04.12.2016,638
05.12.2016,1187
06.12.2016,1247
07.12.2016,1141
08.12.2016,1247
09.12.2016,1179
10.12.2016,785
11.12.2016,604
12.12.2016,1313
13.12.2016,1015
14.12.2016,1215
15.12.2016,1285
16.12.2016,1154
17.12.2016,630
18.12.2016,554
19.12.2016,1208
20.12.2016,1267
21.12.2016,1163
22.12.2016,492
23.12.2016,757
24.12.2016,357
25.12.2016,282
26.12.2016,296
27.12.2016,837
28.12.2016,707
29.12.2016,894
30.12.2016,763
31.12.2016,500
01.01.2017,361
02.01.2017,357
03.01.2017,638
04.01.2017,489
05.01.2017,829
06.01.2017,622
07.01.2017,234
08.01.2017,227
09.01.2017,912
10.01.2017,796
11.01.2017,785
12.01.2017,986
13.01.2017,500
14.01.2017,376
15.01.2017,415
16.01.2017,1034
17.01.2017,951
18.01.2017,930
19.01.2017,961
20.01.2017,857
21.01.2017,601
22.01.2017,612
23.01.2017,835
24.01.2017,677
25.01.2017,950
26.01.2017,1017
27.01.2017,920
28.01.2017,660
29.01.2017,654
30.01.2017,654
31.01.2017,1016
01.02.2017,1129
02.02.2017,1361
03.02.2017,919
04.02.2017,488
05.02.2017,1024
