Datum,Zaehlerstand
18.05.2018,2702
19.05.2018,1902
20.05.2018,2369
21.05.2018,2439
22.05.2018,2907
23.05.2018,2499
24.05.2018,2962
25.05.2018,3655
26.05.2018,2972
27.05.2018,2090
28.05.2018,4539
29.05.2018,4342
30.05.2018,5139
31.05.2018,3143
01.06.2018,1571
02.06.2018,2348
03.06.2018,3001
04.06.2018,4716
05.06.2018,4745
06.06.2018,5225
07.06.2018,4314
08.06.2018,3090
09.06.2018,3275
10.06.2018,3769
11.06.2018,4155
12.06.2018,3557
13.06.2018,4088
14.06.2018,3925
15.06.2018,3878
16.06.2018,2670
17.06.2018,2360
18.06.2018,3917
19.06.2018,4311
20.06.2018,5023
21.06.2018,4060
22.06.2018,3606
23.06.2018,2124
24.06.2018,2141
25.06.2018,4031
26.06.2018,4986
27.06.2018,5405
28.06.2018,5062
29.06.2018,4811
30.06.2018,3133
01.07.2018,3015
02.07.2018,5060
03.07.2018,5612
04.07.2018,4833
05.07.2018,4900
06.07.2018,4651
07.07.2018,3191
08.07.2018,4063
09.07.2018,4720
10.07.2018,4138
11.07.2018,4365
12.07.2018,4809
13.07.2018,5187
14.07.2018,3197
15.07.2018,3120
16.07.2018,4569
17.07.2018,4462
18.07.2018,4603
19.07.2018,4528
20.07.2018,3769
21.07.2018,2565
22.07.2018,2658
23.07.2018,3788
24.07.2018,4296
25.07.2018,4030
26.07.2018,3799
27.07.2018,3448
28.07.2018,1943
29.07.2018,2113
30.07.2018,3502
31.07.2018,3671
01.08.2018,3534
02.08.2018,3657
03.08.2018,3200
04.08.2018,2097
05.08.2018,2430
06.08.2018,3309
07.08.2018,3324
08.08.2018,2727
09.08.2018,2653
10.08.2018,2969
11.08.2018,2070
12.08.2018,2132
13.08.2018,2149
14.08.2018,2609
15.08.2018,3267
16.08.2018,3515
17.08.2018,2248
18.08.2018,2230
19.08.2018,2309
20.08.2018,2840
21.08.2018,3343
22.08.2018,3651
23.08.2018,3674
24.08.2018,2735
25.08.2018,1463
26.08.2018,2146
27.08.2018,3328
28.08.2018,3788
29.08.2018,3398
30.08.2018,3575
31.08.2018,3522
01.09.2018,2179
02.09.2018,2847
03.09.2018,3541
04.09.2018,4054
05.09.2018,3923
06.09.2018,2736
07.09.2018,3294
08.09.2018,2306
09.09.2018,2239
10.09.2018,4082
11.09.2018,4558
12.09.2018,4254
13.09.2018,3208
14.09.2018,3589
15.09.2018,2152
16.09.2018,2624
17.09.2018,4112
18.09.2018,4845
19.09.2018,4585
20.09.2018,4510
21.09.2018,3043
22.09.2018,1424
23.09.2018,493
24.09.2018,3519
25.09.2018,4044
26.09.2018,4013
27.09.2018,4117
28.09.2018,3174
29.09.2018,2828
30.09.2018,2077
01.10.2018,3452
02.10.2018,3038
03.10.2018,1804
04.10.2018,3688
05.10.2018,3754
06.10.2018,2866
07.10.2018,1706
08.10.2018,4321
09.10.2018,4187
10.10.2018,4590
11.10.2018,4415
12.10.2018,4267
13.10.2018,2665
14.10.2018,2838
15.10.2018,3874
16.10.2018,3961
17.10.2018,3778
18.10.2018,3429
19.10.2018,3013
20.10.2018,1785
21.10.2018,1847
22.10.2018,3126
23.10.2018,3287
24.10.2018,2808
25.10.2018,3267
26.10.2018,2765
27.10.2018,1559
28.10.2018,1392
29.10.2018,3676
30.10.2018,2704
31.10.2018,3603
01.11.2018,1022
02.11.2018,2649
03.11.2018,1729
04.11.2018,1398
05.11.2018,3441
06.11.2018,3699
07.11.2018,3562
08.11.2018,3767
09.11.2018,3331
