Datum;Zaehlerstand
01/01/2020;171
01/02/2020;380
01/03/2020;424
01/04/2020;333
01/05/2020;325
01/06/2020;692
01/07/2020;818
01/08/2020;702
01/09/2020;524
01/10/2020;534
01/11/2020;477
01/12/2020;361
01/13/2020;828
01/14/2020;796
01/15/2020;846
01/16/2020;914
01/17/2020;660
01/18/2020;461
01/19/2020;341
01/20/2020;837
01/21/2020;794
01/22/2020;711
01/23/2020;710
01/24/2020;699
01/25/2020;391
01/26/2020;530
01/27/2020;620
01/28/2020;565
01/29/2020;659
01/30/2020;715
01/31/2020;759
02/01/2020;242
02/02/2020;250
02/03/2020;678
02/04/2020;627
02/05/2020;816
02/06/2020;723
02/07/2020;828
02/08/2020;431
02/09/2020;188
02/10/2020;226
02/11/2020;460
02/12/2020;665
02/13/2020;640
02/14/2020;667
02/15/2020;615
02/16/2020;293
02/17/2020;791
02/18/2020;780
02/19/2020;710
02/20/2020;478
02/21/2020;479
02/22/2020;349
02/23/2020;131
02/24/2020;257
02/25/2020;530
02/26/2020;454
02/27/2020;439
02/28/2020;565
02/29/2020;337
03/01/2020;415
03/02/2020;594
03/03/2020;761
03/04/2020;671
03/05/2020;551
03/06/2020;449
03/07/2020;534
03/08/2020;371
03/09/2020;786
03/10/2020;594
03/11/2020;536
03/12/2020;731
03/13/2020;691
03/14/2020;603
03/15/2020;885
03/16/2020;991
03/17/2020;1011
03/18/2020;905
03/19/2020;910
03/20/2020;601
03/21/2020;803
03/22/2020;872
03/23/2020;649
03/24/2020;732
03/25/2020;850
03/26/2020;786
03/27/2020;988
03/28/2020;1232
03/29/2020;216
03/30/2020;623
03/31/2020;725
04/01/2020;920
04/02/2020;732
04/03/2020;553
04/04/2020;1170
04/05/2020;1696
04/06/2020;1128
04/07/2020;1214
04/08/2020;1193
04/09/2020;1206
04/10/2020;1717
